pilot_item_id,run_id,product_id,material_type,decision,violations,confidence,rationale
1,8f4764280be0c74ac817862a14cc6accb2c2dc76,supplement_melatonin,digital_ad.j2,NON_COMPLIANT,V2|V3,HIGH,"The output is missing the required DSHEA disclaimer and 'results may vary' disclaimer, and it makes an unauthorized claim by implying efficacy in 'support relaxation and healthy sleep patterns' without sufficient qualification."
2,f5aa8e84cfd54c653377cfc338d8d23109e21a6d,smartphone_mid,faq.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers.
3,88c73c50af383efb9534546b4a08d715ff9c3fbc,supplement_melatonin,blog_post_promo.j2,NON_COMPLIANT,V2|V4,HIGH,Missing DSHEA disclaimer and fabricates urgency with 'why they might be the right choice for you'.
4,03b58fdffc9dd10c02a83d38825980c90064c9ff,supplement_melatonin,digital_ad.j2,NON_COMPLIANT,V2|V4,HIGH,Missing 'results may vary' disclaimer and 'Try today!' creates artificial urgency not supported by the brief.
5,cd72a60ae475b9a3e565611b2c1fe1a89d685626,cryptocurrency_corecoin,digital_ad.j2,COMPLIANT,,HIGH,All claims and disclaimers in the output align with the authorized claims and mandatory statements in the brief.
6,e0e3663284014ba4aa7dce4e1713a01e595c21de,smartphone_mid,faq.j2,COMPLIANT,,HIGH,"All claims are consistent with the brief, and all required disclaimers are present."
7,3d4e39504c3ab2e166d3da849b5b78b64892a231,smartphone_mid,digital_ad.j2,COMPLIANT,,HIGH,All claims and disclaimers in the output are consistent with the brief and required disclaimers are present.
8,87f1808aa0e28f184585a1d5badb29e9e3335496,smartphone_mid,blog_post_promo.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all mandatory disclaimers.
9,354a01a570919286b295b7136daea8c8511a2331,cryptocurrency_corecoin,digital_ad.j2,NON_COMPLIANT,V4,HIGH,"The phrase 'Secure your assets today' implies urgency, which is not supported by the brief and violates the prohibition against urgency cues."
10,5d8cc68ee341184dcd35b66c0f62a20628d30fe0,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as investment risks and the non-guarantee of staking rewards."
11,0dbe4e7b44cba028c93b791f7192562c9bb02aa3,supplement_melatonin,digital_ad.j2,NON_COMPLIANT,V3|V4,HIGH,"The headline 'Fall asleep faster—naturally' implies a guaranteed effect not fully qualified in the brief, and 'trusted by thousands' fabricates social proof not present in the brief."
12,848d9f80c5262832804de6d772679029aa329c5e,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all mandatory disclaimers, with no unauthorized claims or fabricated content."
13,e03298ade9a93b5ed646405d548ef434532086ca,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the importance of private key security."
14,1fd362d4240297de4e7a49407da5b7adaef96796,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
15,9618a5d3eb3e745be94466d851bccbf68e1671c6,smartphone_mid,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's claims and includes all required disclaimers, such as those regarding battery life, software updates, and security limitations."
16,4df7f2b1aee1b5132a429392d92330e50c040383,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the importance of private key security."
17,1ccc4fa8ca56ef7ad894ba4561f1e5973dc80043,smartphone_mid,blog_post_promo.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers.
18,fb4a944d64209197d30b4c8cfeeebb2376d48bd5,smartphone_mid,digital_ad.j2,COMPLIANT,,HIGH,All claims and disclaimers in the output are consistent with the brief and required disclaimers are present.
19,526b1651458ca430955115736594f716c9fe33b6,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
20,9bfc194ec8ea53b8ad244643fa2821e4a1cc5d73,supplement_melatonin,blog_post_promo.j2,NON_COMPLIANT,V2|V4,HIGH,"The output lacks the required DSHEA disclaimer ('These statements have not been evaluated by the Food and Drug Administration...'), and the phrase 'trusted by adults managing occasional sleeplessness' fabricates social proof not present in the brief."
21,b38f7d49d006cd9ccf79ac272658a352d3384f36,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the importance of private key security."
22,c638708d8c23b5b86f864f4421236bee7b7fb826,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, with no unauthorized claims or factual inaccuracies."
23,98195c7178ad275a6527a0fa821c0cfeb43d0fde,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
24,d5f76b4123dfc7aa860bbac631d8cd361eeb0948,supplement_melatonin,blog_post_promo.j2,NON_COMPLIANT,V2|V3,HIGH,"The output lacks the required DSHEA disclaimer ('These statements have not been evaluated by the Food and Drug Administration...'), and the claim 'may help reduce the time it takes to fall asleep' is presented without sufficient qualification, potentially misleading as an efficacy claim."
25,623430a4c21eabda734a320980689608f1da8cc6,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,"All claims are consistent with the brief, and all required disclaimers are present."
26,eb0dd6bc5123f5869b4c22ad9455ce71ca06d20d,smartphone_mid,faq.j2,COMPLIANT,,HIGH,"All claims and specifications in the output are consistent with the brief, and all required disclaimers are present."
27,f6ef1b55618ae55f0b9ccefdf4bd42c42b68444c,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
28,f8ba397e6bc67e054c8ab092c66103742eb54d13,cryptocurrency_corecoin,digital_ad.j2,COMPLIANT,,HIGH,"All claims and disclaimers in the output are consistent with the brief, including required risk disclosures and no unauthorized claims."
29,381df24a289b8bc88c20aa95e5706f53e34ddd9c,smartphone_mid,digital_ad.j2,COMPLIANT,,HIGH,"All claims and disclaimers in the output are consistent with the brief, including the mention of bloatware-free Android, Titan M2 security, and 7-year updates."
30,f73c4080d17023036b80404bf9c79d218085283b,smartphone_mid,blog_post_promo.j2,NON_COMPLIANT,V1|V3,HIGH,"The output claims 'future-proof support' which is not supported by the brief and suggests indefinite compatibility, violating V1. Additionally, 'ensures that all your pictures are stunning' implies an absolute performance claim not substantiated in the brief, violating V3."
31,9674b25d592acca33c000b85bb76e41a19956647,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the importance of private key security."
32,b9b3ba42c2be2260fd1737e27e3cb8b9dc8f4209,cryptocurrency_corecoin,digital_ad.j2,COMPLIANT,,HIGH,The ad copy accurately reflects the brief's authorized claims and includes all required disclaimers.
33,fcc3d4d32c369849790d43f403d5163f7f5f0dfa,supplement_melatonin,blog_post_promo.j2,NON_COMPLIANT,V2|V3,HIGH,"Missing required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.' Additionally, the claim 'help you achieve better relaxation and sleep' is presented as an efficacy claim without sufficient qualification in the brief."
34,9f3d7bcc8547fe407407fead07b55ce03249073a,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
35,c3261b428afff4494d6236b78352f4d2da41636c,supplement_melatonin,digital_ad.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
36,7a7d10c5b9bd41802333bd68d0aeef26ea44d5cf,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the non-guaranteed nature of staking rewards."
37,5a6574ce86b5f9dade3551ed4fcd26438103f594,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the non-guaranteed nature of staking rewards."
38,ddab818bd37e005069d49e36fe88fcaad0f7a1aa,supplement_melatonin,digital_ad.j2,NON_COMPLIANT,V2|V4,HIGH,The output lacks the required 'results may vary' disclaimer (V2) and uses 'trusted by thousands' as fabricated social proof not present in the brief (V4).
39,f76abafffeb923ff905d2b2407c2549df8a853a1,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, with no unauthorized claims or fabricated content."
40,bb58f555a47600b9eb80b001671b6025ccf15a6b,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the non-guaranteed nature of staking rewards."
41,033bb213ef1be56ace7f3dbba0e30228c98247c0,cryptocurrency_corecoin,digital_ad.j2,COMPLIANT,,HIGH,The ad copy accurately reflects the brief's authorized claims and includes all required disclaimers.
42,f539d5827d7527329fcedb4a132766d1748f5589,smartphone_mid,faq.j2,NON_COMPLIANT,V1|V5,HIGH,"The output states 'Not stated in the provided information' for expandable storage and wireless charging, which contradicts the brief's explicit mention of non-expandable storage and lack of wireless charging support (V1). Additionally, the phrase 'Not stated in the provided information' is an artifact that breaks the intended FAQ format (V5)."
43,eb0e0e7a2f78e51604a7095b0927faad22d8b8b8,smartphone_mid,blog_post_promo.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers.
44,3229c916f1c3ced8e24115a559598fb9577bbfca,smartphone_mid,digital_ad.j2,NON_COMPLIANT,V4,HIGH,The phrase 'tech lovers choose it' implies social proof not substantiated in the brief.
45,596572f3d12cabc8d10c0276ceb71954ce91ccaa,smartphone_mid,faq.j2,COMPLIANT,,HIGH,"All claims and specifications in the output align with the brief, and all required disclaimers are present."
46,ed1d6877d00b34c03fcd22e58c1ee7a99d22906a,smartphone_mid,faq.j2,NON_COMPLIANT,V1|V2,HIGH,"The output states 'Not stated in the provided information' for wireless charging, which is a factual inaccuracy (V1) as the brief explicitly states 'Claims of wireless charging (not supported)'. Additionally, the output lacks a disclaimer about water resistance, which is required given the brief's safety notes (V2)."
47,5629d54153f9db9de2352c686e9b16970bcc1783,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
48,c9d4a5d9ab4313358ed6bcccea4db8022cbbe75f,cryptocurrency_corecoin,digital_ad.j2,COMPLIANT,,HIGH,"The ad copy adheres to the brief by highlighting authorized claims such as peer-to-peer transactions, transparency, and staking with variable rewards. All required disclaimers are present, and no prohibited claims or urgency cues are used."
49,dc35689214fcfddb2e90d5fca3c1ab094321fc10,smartphone_mid,faq.j2,COMPLIANT,,HIGH,"All claims are consistent with the brief, and required disclaimers are present."
50,922b415bfd7b662a60833d40fc009b774e87b7d4,smartphone_mid,blog_post_promo.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers.
51,124873cc9cafe95015bc460166ea76d6434463c8,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the importance of private key security."
52,6a399550dd4735ea357df1aed2a063029fdd67f3,supplement_melatonin,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as consulting a physician and not exceeding the recommended dose."
53,2e5012ce765c6be2aba6ddc2c05c06c89865916b,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
54,f3c95c432e54b6bbb5444420f60590c187669275,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
55,0e9d000c515cd04fd668dd7d95aeae37c6113545,cryptocurrency_corecoin,digital_ad.j2,COMPLIANT,,HIGH,"All claims are consistent with the authorized claims in the brief, and all required disclaimers are present verbatim."
56,c241b3a59f0e3be79249a28e74f028cb43c92a51,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all mandatory disclaimers, with no unauthorized claims or missing disclosures."
57,347d17b344b2b718679a8fd80e0ef2def90faa31,smartphone_mid,digital_ad.j2,NON_COMPLIANT,V4,HIGH,"""See why tech lovers choose Nova X5"" implies social proof not substantiated in the brief."
58,99e1c9f85dbd925a83d7e7447774c66198daa177,cryptocurrency_corecoin,digital_ad.j2,COMPLIANT,,HIGH,"All claims are consistent with the authorized claims in the brief, and all required disclaimers are present verbatim."
59,cd4898e916e1bce45b70427c151bbcdd15a56644,supplement_melatonin,digital_ad.j2,NON_COMPLIANT,V2|V4,HIGH,The ad lacks the required 'results may vary' disclaimer for supplements (V2) and uses 'Trusted by thousands' which fabricates social proof not present in the brief (V4).
60,2c824b552d1a56da4fcbf298d5cb1e803eb997fd,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,"The output accurately reflects the brief's authorized claims and includes all required disclaimers, such as risks of cryptocurrency investments and the importance of private key security."
61,5673c3299387f32802be059545e76868f35cd69a,smartphone_mid,blog_post_promo.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers.
62,7fb52c939b771c0f452803903b139b1c07f2b709,supplement_melatonin,faq.j2,NON_COMPLIANT,V2|V4,HIGH,"The output lacks the required DSHEA disclaimer ('These statements have not been evaluated by the Food and Drug Administration...'), and the FAQ section fabricates a question about limitations without providing an answer, which is not supported by the brief."
63,77ac763a21381c2b76b4c66261322635ee125c07,smartphone_mid,digital_ad.j2,COMPLIANT,,HIGH,"All claims are consistent with the authorized claims in the brief, and all required disclaimers are present."
64,a47a6c6347674c453231961811065bdd40ac97bc,supplement_melatonin,blog_post_promo.j2,NON_COMPLIANT,V2|V4,HIGH,"The output lacks the required DSHEA disclaimer ('These statements have not been evaluated by the Food and Drug Administration...'), and it uses the phrase 'might be worth exploring' which implies a recommendation not present in the brief."
