comment_db_id,run_id,channel_id,channel_niche,video_id,comment_rank,like_count,reply_count,comment_timestamp,cleaned_text,is_spam,is_template,is_duplicate,label_skepticism,label_proof_demand,label_normalization,analysis_skepticism,rank
12423,17,UCxX9wt5FWQUAAz4UrysqK9A,Tech,-Xmf8WEpW8Y,1,17,2,2025-06-19 00:21:48+00:00,1. dont rely on too much if junior; 2. break down large problem into smaller ones; 3.write lots of tests; 4.not exceed 400 lines of code in a file 5. organize code base; 6. move slow so that you can go fast; 7. make architectural decision carefully 8. provide or let AI collect necessary context 9. keep provided context into minimum; 10. go agentic,0,0,0,1,0,0,1,1
9747,11,UC2GUcyD6KYjmU_ofQtPTSSA,Beauty,-aXG8otjSc4,1,592,3,2026-03-04 20:41:14+00:00,"""Huge huge trigger warning.......this guy."" SENT ME lmaoooo. Also what the heck is on your lips?? It's literally perfect. I'm a new Patre-hun but have been lubbin the twins for 3+ years! As a brand rep and MUA for LYS beauty, we're situated near Basma, and if you're looking for a bronzer from a non-problematic, black woman owned, clean brand, look no further! I love working with this brand - best people behind the most amazing products. Would love to hear Robert's opinion on our products, especially our newest concealer with removable sponge tip!! ❤❤❤❤",0,0,0,0,0,0,0,1
4631,11,UC2UXDak6o7rBm23k3Vv5dww,Tech,-c5YbMMm3xA,1,12,0,2026-01-25 18:28:12+00:00,"I genuinely like your work-focused content and the effort you put into it. That said, I think adding some lifestyle or fun videos now and then would be really refreshing. Your environment looks amazing, and a glimpse into your daily life could connect even more with your audience. Just a viewer’s thought—keep up the great work!",0,0,0,0,0,0,0,1
6540,11,UCrB7UFnkosBjAhOg3a9NdWw,Tech,-era_Orh3TM,1,16,1,2025-08-02 08:15:11+00:00,"As an AI expert for years (Data Officer and SL AI and Data), I can tell you that Grace is a really good teacher and I experimented most of these technics there are clearly efficient. Great bravo from Paris.",0,0,0,0,0,1,0,1
5015,11,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,-rWNkgdaYZI,1,12,2,2025-10-02 14:31:20+00:00,"I guess circle to search, swipe from corner, or hold power button for gemini are much easier on android. You may also change the AI assistant to activate using those gestures but it's a little bit limited right now.",0,0,0,0,0,0,0,1
4995,11,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,0-0gFuDwmXI,1,121,9,2025-11-17 22:45:37+00:00,Credits is a scam when the product is not even 100 percent accurate. You shouldn’t be charge anything until you accept the output,0,0,0,0,0,0,0,1
4996,11,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,0-0gFuDwmXI,2,84,0,2025-10-12 22:07:20+00:00,Hey my friend...how is your new gig? Settle in yet?,0,0,0,0,0,1,0,2
4997,11,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,0-0gFuDwmXI,3,83,11,2025-10-07 16:34:24+00:00,"Yes, I want the tutorial on gems and custom GPT. I await your tutorials. You are the best 💚",0,0,0,0,0,1,0,3
4999,11,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,0-0gFuDwmXI,5,50,7,2025-10-11 21:35:04+00:00,This is hands down one of the most realistic breakdowns of the current AI-video landscape. You perfectly explained why “character consistency” is the real bottleneck — not model power. Massive respect for showing an actual workflow instead of hype.,0,0,0,0,0,1,0,4
5003,11,UCwAnu01qlnVg1Ai2AbtTMaA,Tech,0-0gFuDwmXI,9,22,1,2025-10-07 12:29:27+00:00,📈 Grab my AI Toolkit - https://academy.jeffsu.org/ai-toolkit?utm_source=youtube&utm_medium=video&utm_campaign=190 TIMESTAMPS 00:00 The Reality of the AI Video Landscape 00:25 Bottom Line Up Front 04:15 Step 1 06:34 Step 2 08:53 Step 3 12:43 Step 4 14:56 Final Thoughts 16:09 Sora 2 Rollout and Implications,0,0,0,0,0,0,0,5
6410,11,UCrB7UFnkosBjAhOg3a9NdWw,Tech,01QFY3oJWvA,1,10,1,2025-09-19 14:30:48+00:00,Awesome stuff per usual Grace! You are definitely one of the few AI Solopreneurs I admire,0,0,0,0,0,1,0,1
23623,22,UCKWaEZ-_VweaEx1j62do_vQ,Tech,0JXOFoucK78,1,1,0,2025-12-10 14:16:49+00:00,This title is hilarious. There IS no competition. Open source western models need to actually innovate. No more hands outs.,0,0,0,0,0,1,0,1
19064,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,1,2,2,2026-03-05 17:02:33+00:00,Making people brain dead is the ai use case I hear you saying. Think for yourself.,0,0,0,1,0,0,1,1
19065,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,2,1,0,2026-03-05 15:52:06+00:00,"Tax and government forms, I don't know how I even managed without AI before",0,0,0,0,0,1,0,2
19066,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,3,1,0,2026-03-05 17:13:33+00:00,I also don’t think I’ve written proper code in a minute and I’m worried 😅,0,0,0,0,0,1,0,3
19067,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,4,1,0,2026-03-05 19:55:21+00:00,I didn’t even know that before Tina,0,0,0,0,0,0,0,4
19068,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,5,1,1,2026-03-06 04:54:20+00:00,I just build my own apps for things. Like theres no chess game with the rules I made. Also anyone want an openclaw installer I'm working on ? I'm testing it now.😂,0,0,0,0,0,1,0,5
19069,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,6,0,0,2026-03-05 17:28:27+00:00,💜🐈‍⬛️,0,0,0,0,0,0,0,6
19070,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,7,0,0,2026-03-05 17:29:21+00:00,"aint no way you practice talking with ai bruh, you really need to realize its taking your brain",0,0,0,1,0,0,1,7
19071,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,8,0,0,2026-03-06 17:16:21+00:00,Hey Tina i found a big gap in AI industries that no one is solving wanna discuss with you,0,0,0,0,0,1,0,8
19072,20,UC2UXDak6o7rBm23k3Vv5dww,Tech,0JnWV5n1TJA,9,0,0,2026-03-06 17:24:05+00:00,👍,0,0,0,0,0,0,0,9
27646,23,UCcmt14iMeqsrE1Iu2LBl9Nw,Beauty,0M__fXY-rFs,1,2,1,2026-03-04 16:32:45+00:00,"The moment you put the jewelry on the grater, you've lost me, It started when you wrapped the sound in 100 rounds of nylon, not just halving it in half and scooping out the eggplant with a spoon, both simpler and less polluting to the environment...",0,0,0,0,0,0,0,1
27647,23,UCcmt14iMeqsrE1Iu2LBl9Nw,Beauty,0M__fXY-rFs,2,0,1,2026-03-04 12:02:55+00:00,Sem comentários kkl coisas sem nexo,0,0,0,0,0,0,0,2
27648,23,UCcmt14iMeqsrE1Iu2LBl9Nw,Beauty,0M__fXY-rFs,3,0,1,2026-03-04 13:41:54+00:00,Co to je,0,0,0,0,0,0,0,3
31423,24,UCPtRWUbBcPkEjbexT2jiCuA,Beauty,0ZsST7nZiBs,1,217,2,2025-01-24 16:25:42+00:00,Next we’re gonna start boycotting the 💃🕺 emojis 😭,0,0,0,0,0,0,0,1
31424,24,UCPtRWUbBcPkEjbexT2jiCuA,Beauty,0ZsST7nZiBs,2,182,3,2025-01-24 16:33:41+00:00,"How ridiculous, people should be able to do whatever damce they want. No wonder why us Gen Z's are so fucking lonely.",0,0,0,0,0,0,0,2
31427,24,UCPtRWUbBcPkEjbexT2jiCuA,Beauty,0ZsST7nZiBs,5,21,0,2025-01-25 00:43:40+00:00,"If i were to go to a club alone, i would sitting on a chair while i watch other people dance while listening to the music and maybe occasionally go on my phone, it may sound weird but im not really a dancer but Atleast im not stopping people from dancing",0,0,0,0,0,0,0,3
19784,20,UCrB7UFnkosBjAhOg3a9NdWw,Tech,0lOv9Ys8YBk,1,2,2,2024-04-18 22:38:42+00:00,"Please do more specific videos about some idea, and not being too general and vague. I could just ask chatgpt for that.",0,0,0,0,0,0,0,1
31456,24,UCPtRWUbBcPkEjbexT2jiCuA,Beauty,0r-7skoyWkE,1,83,0,2025-01-23 18:34:46+00:00,Wait what the hell that’s messed up!,0,0,0,0,0,0,0,1
31457,24,UCPtRWUbBcPkEjbexT2jiCuA,Beauty,0r-7skoyWkE,2,80,0,2025-01-23 19:14:38+00:00,Like the wife thinks she wouldn’t have an “ick”,0,0,0,0,0,0,0,2
31458,24,UCPtRWUbBcPkEjbexT2jiCuA,Beauty,0r-7skoyWkE,3,65,2,2025-01-23 18:39:41+00:00,What's next? Breathing is an Ick?,0,0,0,0,0,0,0,3
32973,24,UCWu65T8zcgURKqmcIbzqY5w,Lifestyle,1-FshgSLleM,1,3,1,2025-09-04 00:01:07+00:00,"Hi Sarge, I loved this show. They worked so well together .As my dad used to say “we aren’t old, we are just seasoned with the right amount of spice! “ Thank you again Sarge for an another good one. I love these👍😁",0,0,0,0,0,0,0,1
32974,24,UCWu65T8zcgURKqmcIbzqY5w,Lifestyle,1-FshgSLleM,2,2,0,2025-09-03 20:32:37+00:00,Wow! That's a throwback!!! Before female LE were commonplace! ✌🏼,0,0,0,0,0,0,0,2
32975,24,UCWu65T8zcgURKqmcIbzqY5w,Lifestyle,1-FshgSLleM,3,2,0,2025-09-03 21:26:23+00:00,I wanted to be Christine Cagney when I grew up 😂😂,0,0,0,0,0,0,0,3
32978,24,UCWu65T8zcgURKqmcIbzqY5w,Lifestyle,1-FshgSLleM,6,1,1,2025-09-03 20:11:28+00:00,"I would have picked Smith and Wesson, but it wasn’t an option!!! Who loves ya’ Sarge???❤❤❤😂🤗🤭",0,0,0,0,0,0,0,4
26384,22,UCL1VdVcXmP5sQyVLt81QMyg,Lifestyle,13ezaoZz7mY,3,0,0,2024-12-23 00:44:10+00:00,capitalism,0,0,0,0,0,0,0,1
