Filename,Status,Violated_Rule,Extracted_Claim,Confidence_Score
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin is a decentralized Layer-1 digital asset,0.9595
user_corecoin_10.txt,FAIL,Protocol changes without on-chain governance process,CoreCoin operates on a Proof-of-Stake (PoS) blockchain,0.9820
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin supports smart contracts,0.9127
user_corecoin_10.txt,FAIL,Claims that it functions as traditional currency,CoreCoin supports decentralized applications,0.9425
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),Average block time is ~5 seconds,0.9473
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),"Maximum supply is 2,000,000,000 CORE",0.9128
user_corecoin_10.txt,FAIL,"Don't miss out, moonshot, limited-time opportunity",Transactions are secured through cryptographic signatures,0.9697
user_corecoin_10.txt,FAIL,Enables users to keep their digital assets in their own custody and under their control,The network relies on distributed validator participation,0.9614
user_corecoin_10.txt,FAIL,Documentation version-controlled and publicly maintained,CoreCoin's market value is highly volatile,0.9502
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin's market value is influenced by liquidity,0.9694
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin's market value is influenced by market sentiment,0.9730
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin's market value is influenced by macroeconomic conditions,0.9581
user_corecoin_10.txt,FAIL,Documentation version-controlled and publicly maintained,Price discovery occurs through decentralized market mechanisms,0.9973
user_corecoin_10.txt,FAIL,Self-custody model with no third-party key recovery,Trading is subject to 24/7 global activity,0.9926
user_corecoin_10.txt,FAIL,"2,000,000,000 CORE",Trading does not have circuit breakers,0.9676
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin can be stored on hardware wallets,0.9536
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin can be stored on mobile wallets,0.9573
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin can be stored on desktop clients,0.9550
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),Compatibility varies by software,0.9762
user_corecoin_10.txt,FAIL,On-chain governance votes publicly recorded,Users must securely store their private keys,0.9477
user_corecoin_10.txt,FAIL,On-chain activity permanently recorded and viewable through public block explorers,Private keys cannot be recovered if lost,0.9640
