thread_queue_rank,thread_score,staging_label,recommended_action,coder_packet_hint,run_id,run_in_selected_freeze,channel_niche,channel_id,video_id,video_url,title,published_at,comment_db_id,comment_rank,like_count,reply_count,annotation_count,coder_count,has_disagreement,rule_skepticism,rule_proof_demand,comment_ai_signal,video_ai_signal,historical_skeptic_channel,channel_resolved_n,channel_skepticism_rate,channel_skeptic_or_proof_rate,heuristic_language,low_info_noise,selection_reasons,cleaned_text
1,10.2,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,25,0,Tech,@aitechdailyshorts,@aitechdailyshorts_video_1,https://youtube.com/watch?v=@aitechdailyshorts_video_1,Mock video 1,2026-04-02T13:02:22.918786+00:00,33418,1,1000,14,1,1,0,1,1,0,0,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; proof-demand lexical cue; top-ranked comment; higher engagement,"This looks fake, can you show BTS footage?"
2,10.2,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,26,0,Tech,@WesRoth,@WesRoth_video_1,https://youtube.com/watch?v=@WesRoth_video_1,Mock video 1,2026-04-02T13:27:27.283222+00:00,33423,1,1000,5,1,1,0,1,1,0,0,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; proof-demand lexical cue; top-ranked comment; higher engagement,"This looks fake, can you show BTS footage?"
3,9.7,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,21,0,Tech,UC_EXAMPLE_TECH_001,UC_EXAMPLE_TECH_001_video_1,https://youtube.com/watch?v=UC_EXAMPLE_TECH_001_video_1,Mock video 1,2026-03-07T13:13:08.666661+00:00,23595,1,1000,20,0,0,0,1,1,0,0,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; proof-demand lexical cue; top-ranked comment; higher engagement,"This looks fake, can you show BTS footage?"
4,8.11025863987004,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCYO_jab_esuFRV4b17AJtAw,j5h9dBtWZXM,https://www.youtube.com/watch?v=j5h9dBtWZXM,How AI connects text and images,2025-08-21T18:24:11Z,3401,1,102,4,0,0,0,0,1,1,1,0,20,0.0,0.0,english_or_other_latin,0,proof-demand lexical cue; top-ranked comment; AI mention in comment; higher engagement,"Wow. This is actually really informative. With how fast ai changes, and even though I know it is just maths, it doesn't stop ai from feeling like voodoo magic behind the scenes"
5,8.0,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,27,0,Tech,@WesRoth,@WesRoth_video_2,https://youtube.com/watch?v=@WesRoth_video_2,Mock video 2,2026-03-30T13:39:54.906077+00:00,33464,17,960,7,1,1,0,1,1,0,0,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; proof-demand lexical cue; higher engagement,This looks staged to me around the hand movement; can you show BTS footage for moment 6?
6,7.947293775868989,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,23,1,Tech,UCHLGD4A8GjwGlbxtgo8cvWw,gtlRgIq-KtI,https://www.youtube.com/watch?v=gtlRgIq-KtI,"""The Future Is Thinking: How AI Is Transforming The World — From Creativity to Cash Flow""",2025-11-13T00:27:50Z,26707,1,1,0,1,1,0,1,0,1,1,0,26,0.07692307692307693,0.11538461538461539,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in comment,It’s ai scamming people around the world and destroying the real values and is not intelligence
7,7.866292138590906,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCSxPE9PHHxQUEt6ajGmQyMA,bzWI3Dil9Ig,https://www.youtube.com/watch?v=bzWI3Dil9Ig,My Multi-Agent Team with OpenClaw,2026-02-16T13:01:07Z,5649,2,160,14,0,0,0,1,0,1,1,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in comment; higher engagement,"Would be interesting to see concrete examples of the tasks these agents are actually performing. I'm skeptical of this AI agent thing and found the ""use cases"" chapter pretty vague. What kind of code is Bernard pushing? What kind of trends will an AI agent surface that you wouldn't be aware of just by scrolling hacker news? How is a chatbot going to function as an autonomous ""project manager"" in any capacity?"
8,7.860650378298996,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,23,1,Tech,UCHLGD4A8GjwGlbxtgo8cvWw,Pw5M2_oTVV8,https://www.youtube.com/watch?v=Pw5M2_oTVV8,Kling AI Create Mind Blowing Videos in Minute,2025-10-15T23:10:52Z,26736,1,0,0,1,1,0,1,0,1,1,0,26,0.07692307692307693,0.11538461538461539,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in comment,"🚀 Kling AI is changing the way we create videos! From seamless loops to cinematic storytelling, this tool is packed with potential. 👉 Question for YOU: Would you rather use Kling AI to make short creative clips or build full storytelling animations? Drop your thoughts below — I’ll be replying to as many comments as I can! 💡 Don’t forget: Like 👍, Subscribe 🔔, and turn on notifications so you don’t miss my next AI breakdown!"
9,7.846529173425454,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,JHF2t-S2nm0,https://www.youtube.com/watch?v=JHF2t-S2nm0,Skills I'm Learning In 2026,2026-01-05T14:12:36Z,4682,2,53,5,0,0,0,1,0,0,1,1,12,0.16666666666666666,0.16666666666666666,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in video metadata; historically skepticism-rich channel; higher engagement,"I kept hearing successful people say “choose your hard,” but it didn’t really click until recently. I realized how much time and energy I was pouring into building someone else’s system under constant pressure. Power Behind the Curtain by Dave Rumsfeld reframed it for me. Wealth isn’t about working harder, it’s about ownership. The elite don’t rent out their time, they build structures that compound it. That’s when I decided to make my move and start designing my own system. Trading time for money is capped. Controlling systems isn’t. Once you see that difference, there’s no going back."
10,7.676561651167421,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,WSCbyIMXwS4,https://www.youtube.com/watch?v=WSCbyIMXwS4,"OPUS 4.6 is a bit ""TOO SMART""",2026-02-09T23:25:03Z,3103,3,50,8,0,0,0,1,0,1,1,0,3,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in comment; higher engagement,"Think of the amount of data these AI models have been trained on where humans lying/cheating/stealing have ""won"", persevered, succeeded. The engineers can put up guardrails, but that is like telling a child not to take a cookie without permission. The child still knows the cookies are on the counter, and he sees his dad take one all the time. : /"
