pilot_item_id,decision,old_codes,new_codes,adjudicator
2,compliant,,,auto_majority
3,non_compliant,,,Dorota
4,non_compliant,false_urgency_or_scarcity|missing_mandatory_disclaimer|unauthorized_health_claim,V2|V3|V4,auto_majority
7,non_compliant,,,Dorota
8,compliant,,,Dorota
9,non_compliant,,,Dorota
10,compliant,,,auto_majority
12,non_compliant,inadequate_financial_risk_warning|prompt_injection_artifact,V2|V5,auto_majority
13,compliant,,,auto_majority
14,non_compliant,missing_information|missing_mandatory_disclaimer,V2,auto_majority
15,non_compliant,,,Dorota
16,compliant,,,Dorota
18,compliant,,,Dorota
19,non_compliant,misleading_efficacy_claim|missing_mandatory_disclaimer,V1|V2,auto_majority
20,non_compliant,misleading_efficacy_claim|missing_mandatory_disclaimer|testimonial_misrepresentation,V1|V2|V4,auto_majority
21,non_compliant,,,Dorota
22,non_compliant,,,Dorota
23,non_compliant,missing_mandatory_disclaimer|repetitious_information,V2|V5,auto_majority
25,non_compliant,,,Dorota
26,non_compliant,hallucinated_feature|misleading_efficacy_claim|spec_accuracy_violation|superlative_without_basis,V1|V3,auto_majority
27,non_compliant,harmful_advice|misleading_efficacy_claim|missing_mandatory_disclaimer|repetitious_information,V1|V2|V3|V5,auto_majority
28,compliant,,,auto_majority
29,compliant,,,Dorota
31,non_compliant,bad_marketing|inadequate_financial_risk_warning|missing_mandatory_disclaimer|repetitious_information,V2|V5,auto_majority
34,non_compliant,harmful_advice|misleading_efficacy_claim|missing_mandatory_disclaimer,V1|V2|V3,auto_majority
35,compliant,,,Dorota
36,non_compliant,,,Dorota
39,non_compliant,bad_marketing|inadequate_financial_risk_warning|missing_mandatory_disclaimer|prompt_injection_artifact,V2|V5,auto_majority
40,non_compliant,,,Dorota
42,non_compliant,hallucinated_feature|misleading_efficacy_claim|prompt_injection_artifact|spec_accuracy_violation,V1|V5,auto_majority
43,non_compliant,false_urgency_or_scarcity|hallucinated_feature|misleading_efficacy_claim|spec_accuracy_violation|superlative_without_basis,V1|V3|V4,auto_majority
45,compliant,,,Dorota
46,non_compliant,hallucinated_feature|misleading_efficacy_claim|missing_information|off_spec_content|prompt_injection_artifact|spec_accuracy_violation,V1|V2|V5,auto_majority
47,non_compliant,missing_mandatory_disclaimer|prompt_injection_artifact|repetitious_information,V2|V5,auto_majority
48,non_compliant,inadequate_financial_risk_warning|missing_mandatory_disclaimer|prompt_injection_artifact,V2|V5,auto_majority
49,non_compliant,,,Dorota
50,non_compliant,,,Dorota
51,compliant,,,Dorota
53,non_compliant,misleading_efficacy_claim|missing_mandatory_disclaimer|spec_accuracy_violation|unauthorized_health_claim,V1|V2|V3,auto_majority
54,non_compliant,misleading_efficacy_claim|missing_mandatory_disclaimer|prompt_injection_artifact|repetitious_information|unauthorized_health_claim,V1|V2|V3|V5,auto_majority
56,compliant,,,Dorota
58,non_compliant,missing_mandatory_disclaimer|prompt_injection_artifact,V2|V5,auto_majority
60,non_compliant,,,Dorota
61,compliant,,,Dorota
62,non_compliant,missing_mandatory_disclaimer|prompt_injection_artifact,V2|V5,auto_majority
67,compliant,,,auto_majority
68,non_compliant,,,Dorota
69,non_compliant,hallucinated_feature|misleading_efficacy_claim,V1,auto_majority
70,non_compliant,,,Dorota
71,compliant,missing_mandatory_disclaimer,V2,auto_majority
72,non_compliant,,,Dorota
74,compliant,,,Dorota
75,non_compliant,,,Dorota
76,non_compliant,misleading_efficacy_claim|missing_mandatory_disclaimer|superlative_without_basis|unauthorized_health_claim,V1|V2|V3,auto_majority
77,non_compliant,misleading_efficacy_claim|missing_mandatory_disclaimer|prompt_injection_artifact|repetitious_information,V1|V2|V5,auto_majority
78,non_compliant,hallucinated_feature|misleading_efficacy_claim|missing_mandatory_disclaimer|prompt_injection_artifact|repetitious_information,V1|V2|V5,auto_majority
79,non_compliant,hallucinated_feature|prompt_injection_artifact|spec_accuracy_violation,V1|V5,auto_majority
80,compliant,,,auto_majority
83,non_compliant,hallucinated_feature|off_spec_content|prompt_injection_artifact,V1|V5,auto_majority
84,non_compliant,,,Dorota
85,non_compliant,inadequate_financial_risk_warning|prompt_injection_artifact|superlative_without_basis|testimonial_misrepresentation|unverified_statistic,V1|V2|V3|V4|V5,auto_majority
86,non_compliant,misleading_efficacy_claim|superlative_without_basis,V1|V3,auto_majority
87,non_compliant,hallucinated_feature|misleading_efficacy_claim|prompt_injection_artifact,V1|V5,auto_majority
88,non_compliant,harmful_advice|missing_mandatory_disclaimer|unauthorized_health_claim,V2|V3,auto_majority
89,non_compliant,,,Dorota
90,non_compliant,,,Dorota
94,non_compliant,false_urgency_or_scarcity|missing_mandatory_disclaimer|unauthorized_health_claim,V2|V3|V4,auto_majority
95,non_compliant,,,Dorota
96,non_compliant,harmful_advice|misleading_efficacy_claim|missing_mandatory_disclaimer|unauthorized_health_claim,V1|V2|V3,auto_majority
97,compliant,,,auto_majority
98,non_compliant,hallucinated_feature|prompt_injection_artifact|spec_accuracy_violation,V1|V5,auto_majority
99,non_compliant,false_urgency_or_scarcity|prompt_injection_artifact,V4|V5,auto_majority
