video_queue_rank,video_score,staging_label,recommended_action,run_id,run_in_selected_freeze,channel_niche,channel_id,video_id,video_url,title,published_at,candidate_threads,skeptical_or_proof_threads,top_comment_skeptical_or_proof,max_thread_score,mean_thread_score,high_engagement_threads,disagreement_threads,video_ai_signal,historical_skeptic_channel
1,10.965888308335966,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,25,0,Tech,@aitechdailyshorts,@aitechdailyshorts_video_1,https://youtube.com/watch?v=@aitechdailyshorts_video_1,Mock video 1,2026-04-02T13:02:22.918786+00:00,1,1,1,10.2,10.2,1,0,0,0
2,10.965888308335966,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,26,0,Tech,@WesRoth,@WesRoth_video_1,https://youtube.com/watch?v=@WesRoth_video_1,Mock video 1,2026-04-02T13:27:27.283222+00:00,1,1,1,10.2,10.2,1,0,0,0
3,10.495303898002016,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,opghSX24clM,https://www.youtube.com/watch?v=opghSX24clM,This Broke My Brain - These Humans Aren’t Real,2026-01-29T10:29:06Z,7,4,0,7.297638972994113,5.755600565092252,5,0,1,1
4,10.465888308335966,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,21,0,Tech,UC_EXAMPLE_TECH_001,UC_EXAMPLE_TECH_001_video_1,https://youtube.com/watch?v=UC_EXAMPLE_TECH_001_video_1,Mock video 1,2026-03-07T13:13:08.666661+00:00,1,1,1,9.7,9.7,1,0,0,0
5,10.292035256541975,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCYO_jab_esuFRV4b17AJtAw,j5h9dBtWZXM,https://www.youtube.com/watch?v=j5h9dBtWZXM,How AI connects text and images,2025-08-21T18:24:11Z,3,3,1,8.11025863987004,6.762522548909437,2,0,1,0
6,10.077168774388445,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,oO9GLC2iKy8,https://www.youtube.com/watch?v=oO9GLC2iKy8,"The Productivity System I Taught to 6,642 Googlers",2025-10-21T13:01:38Z,6,5,0,6.859622684955257,5.557337462878945,6,0,1,0
7,9.992224398627883,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,WSCbyIMXwS4,https://www.youtube.com/watch?v=WSCbyIMXwS4,"OPUS 4.6 is a bit ""TOO SMART""",2026-02-09T23:25:03Z,4,3,0,7.676561651167421,6.038536010140539,4,0,1,0
8,9.677918795182128,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,3KRoJHT8zF8,https://www.youtube.com/watch?v=3KRoJHT8zF8,The Internet’s Darkest Real Footage,2026-02-08T14:05:00Z,5,5,0,6.602863113645295,5.3725605425042176,2,0,0,1
9,9.531776616671934,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,27,0,Tech,@WesRoth,@WesRoth_video_2,https://youtube.com/watch?v=@WesRoth_video_2,Mock video 2,2026-03-30T13:39:54.906077+00:00,3,2,0,8.0,5.733333333333333,3,0,0,0
10,9.40569654662632,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,JHF2t-S2nm0,https://www.youtube.com/watch?v=JHF2t-S2nm0,Skills I'm Learning In 2026,2026-01-05T14:12:36Z,2,1,0,7.846529173425454,7.083137106671648,2,0,1,1
